capture	differing_pixels	bbox (before vs after)
guest-dark-1280.png	74653	(126, 177, 1154, 665)
guest-dark-390.png	33653	(16, 172, 374, 648)
guest-light-1280.png	74345	(126, 177, 1154, 665)
guest-light-390.png	33407	(16, 172, 374, 648)
owner-dark-1280.png	58591	(126, 225, 1154, 713)
owner-dark-360.png	34552	(16, 195, 344, 671)
owner-dark-390.png	34792	(16, 195, 374, 671)
owner-dark-430.png	35112	(16, 195, 414, 671)
owner-dark-768.png	37816	(16, 220, 752, 696)
owner-light-1280.png	58293	(126, 225, 1154, 713)
owner-light-360.png	34338	(16, 195, 344, 671)
owner-light-390.png	34578	(16, 195, 374, 671)
owner-light-430.png	34898	(16, 195, 414, 671)
owner-light-768.png	37602	(16, 220, 752, 696)
reorder-light-390.png	37061	(16, 195, 374, 579)
share-dark-1280.png	54767	(126, 210, 1154, 691)
share-dark-390.png	30917	(16, 210, 374, 673)
share-light-1280.png	54528	(126, 210, 1154, 691)
share-light-390.png	30761	(16, 210, 374, 673)
