owner-full-light-360.png: 107441 differing px, bbox (16, 156, 343, 1049); height 1078->1124 (+46px)
owner-full-light-390.png: 119926 differing px, bbox (16, 156, 373, 1062); height 1091->1137 (+46px)
owner-full-light-430.png: 127592 differing px, bbox (16, 29, 413, 1053); height 1087->1128 (+41px)
owner-full-light-768.png: 252925 differing px, bbox (16, 156, 751, 1180); height 1158->1199 (+41px)
owner-full-light-1280.png: 246806 differing px, bbox (280, 156, 999, 1173); height 1151->1192 (+41px)
owner-manual-light-360.png: 79058 differing px, bbox (16, 157, 343, 822); height 900->900 (+0px)
owner-manual-light-390.png: 84608 differing px, bbox (16, 157, 373, 822); height 900->900 (+0px)
owner-manual-light-430.png: 92008 differing px, bbox (16, 157, 413, 822); height 900->900 (+0px)
owner-manual-light-768.png: 154538 differing px, bbox (16, 157, 751, 822); height 1000->1000 (+0px)
owner-manual-light-1280.png: 151578 differing px, bbox (280, 157, 999, 822); height 1000->1000 (+0px)
peer-sheet-light-360.png: 34380 differing px, bbox (0, 227, 359, 833); height 900->900 (+0px)
peer-sheet-light-390.png: 35850 differing px, bbox (0, 227, 389, 833); height 900->900 (+0px)
peer-sheet-light-430.png: 37810 differing px, bbox (0, 227, 429, 833); height 900->900 (+0px)
peer-sheet-light-768.png: 54333 differing px, bbox (0, 227, 767, 933); height 1000->1000 (+0px)
peer-sheet-light-1280.png: 32170 differing px, bbox (256, 52, 1255, 600); height 1000->1000 (+0px)
share-sheet-light-360.png: 84359 differing px, bbox (0, 29, 359, 1025); height 984->1026 (+42px)
share-sheet-light-390.png: 91142 differing px, bbox (0, 183, 389, 1038); height 997->1039 (+42px)
share-sheet-light-430.png: 82372 differing px, bbox (0, 29, 429, 1035); height 1006->1036 (+30px)
share-sheet-light-768.png: 224857 differing px, bbox (0, 116, 767, 1189); height 1143->1190 (+47px)
share-sheet-light-1280.png: 89118 differing px, bbox (785, 52, 1255, 946); height 1000->1000 (+0px)
owner-full-dark-360.png: 126943 differing px, bbox (0, 156, 359, 1123); height 1078->1124 (+46px)
owner-full-dark-390.png: 141139 differing px, bbox (0, 156, 389, 1136); height 1091->1137 (+46px)
owner-full-dark-430.png: 148400 differing px, bbox (0, 23, 429, 1127); height 1087->1128 (+41px)
owner-full-dark-768.png: 288804 differing px, bbox (0, 156, 767, 1198); height 1158->1199 (+41px)
owner-full-dark-1280.png: 303728 differing px, bbox (0, 156, 1279, 1191); height 1151->1192 (+41px)
owner-manual-dark-360.png: 79266 differing px, bbox (16, 157, 343, 822); height 900->900 (+0px)
owner-manual-dark-390.png: 84816 differing px, bbox (16, 157, 373, 822); height 900->900 (+0px)
owner-manual-dark-430.png: 92216 differing px, bbox (16, 157, 413, 822); height 900->900 (+0px)
owner-manual-dark-768.png: 154746 differing px, bbox (16, 157, 751, 822); height 1000->1000 (+0px)
owner-manual-dark-1280.png: 151786 differing px, bbox (280, 157, 999, 822); height 1000->1000 (+0px)
peer-sheet-dark-360.png: 48147 differing px, bbox (0, 279, 359, 833); height 900->900 (+0px)
peer-sheet-dark-390.png: 51057 differing px, bbox (0, 279, 389, 833); height 900->900 (+0px)
peer-sheet-dark-430.png: 54937 differing px, bbox (0, 279, 429, 833); height 900->900 (+0px)
peer-sheet-dark-768.png: 87696 differing px, bbox (0, 379, 767, 933); height 1000->1000 (+0px)
peer-sheet-dark-1280.png: 62963 differing px, bbox (785, 52, 1255, 600); height 1000->1000 (+0px)
share-sheet-dark-360.png: 119044 differing px, bbox (0, 23, 359, 1025); height 984->1026 (+42px)
share-sheet-dark-390.png: 129337 differing px, bbox (0, 183, 389, 1038); height 997->1039 (+42px)
share-sheet-dark-430.png: 123672 differing px, bbox (0, 23, 429, 1035); height 1006->1036 (+30px)
share-sheet-dark-768.png: 315054 differing px, bbox (0, 116, 767, 1189); height 1143->1190 (+47px)
share-sheet-dark-1280.png: 139868 differing px, bbox (785, 52, 1255, 946); height 1000->1000 (+0px)
