#130 pixel diff matrix — before (main) vs after (feat/feed-row-consistency)
full-page captures are top-aligned onto the taller canvas before diffing
capture                              size before   size after   diff px      %  bbox (x0,y0,x1,y1)
guest-detail-390-dark.png                390x844      390x844     93884  28.5%  (0, 172, 390, 647)
guest-detail-390-light.png               390x844      390x844     92112  28.0%  (0, 172, 390, 647)
guest-feed-1280-dark.png                1280x844     1280x844     48217   4.5%  (126, 175, 1154, 670)
guest-feed-1280-light.png               1280x844     1280x844     43432   4.0%  (126, 175, 1154, 670)
guest-feed-360-dark.png                  360x844      360x844     36857  12.1%  (16, 172, 344, 696)
guest-feed-360-light.png                 360x844      360x844     29023   9.6%  (16, 172, 344, 696)
guest-feed-390-dark.png                  390x844      390x844     32276   9.8%  (16, 172, 374, 676)
guest-feed-390-light.png                 390x844      390x844     27104   8.2%  (16, 172, 374, 676)
guest-feed-430-dark.png                  430x844      430x844     34148   9.4%  (16, 172, 414, 676)
guest-feed-430-light.png                 430x844      430x844     28771   7.9%  (16, 172, 414, 676)
guest-feed-768-dark.png                  768x844      768x844     37624   5.8%  (16, 172, 752, 676)
guest-feed-768-light.png                 768x844      768x844     33811   5.2%  (16, 172, 752, 676)
owner-detail-1280-dark.png              1280x844     1280x844     14255   1.3%  (280, 124, 416, 260)
owner-detail-1280-light.png             1280x844     1280x844     14247   1.3%  (280, 124, 416, 260)
owner-detail-360-dark.png                360x844      360x844     14255   4.7%  (16, 124, 152, 260)
owner-detail-360-light.png               360x844      360x844     14247   4.7%  (16, 124, 152, 260)
owner-detail-390-dark.png                390x844      390x844     14255   4.3%  (16, 124, 152, 260)
owner-detail-390-light.png               390x844      390x844     14247   4.3%  (16, 124, 152, 260)
owner-detail-430-dark.png                430x844      430x844     14255   3.9%  (16, 124, 152, 260)
owner-detail-430-light.png               430x844      430x844     14247   3.9%  (16, 124, 152, 260)
owner-detail-768-dark.png                768x844      768x844     14255   2.2%  (16, 124, 152, 260)
owner-detail-768-light.png               768x844      768x844     14247   2.2%  (16, 124, 152, 260)
owner-feed-1280-dark.png                1280x844     1280x844     25278   2.3%  (138, 223, 1087, 650)
owner-feed-1280-light.png               1280x844     1280x844     23054   2.1%  (138, 223, 1087, 650)
owner-feed-360-dark.png                  360x844      360x844     20291   6.7%  (16, 195, 344, 699)
owner-feed-360-light.png                 360x844      360x844     17930   5.9%  (16, 195, 344, 699)
owner-feed-390-dark.png                  390x844      390x844     20708   6.3%  (16, 195, 374, 699)
owner-feed-390-light.png                 390x844      390x844     18337   5.6%  (16, 195, 374, 699)
owner-feed-430-dark.png                  430x844      430x844     21574   5.9%  (16, 195, 414, 699)
owner-feed-430-light.png                 430x844      430x844     19175   5.3%  (16, 195, 414, 699)
owner-feed-768-dark.png                  768x844      768x844     22367   3.5%  (16, 220, 752, 724)
owner-feed-768-light.png                 768x844      768x844     19993   3.1%  (16, 220, 752, 724)
owner-reorder-390-dark.png               390x844      390x844     20950   6.4%  (16, 195, 374, 665)
owner-reorder-390-light.png              390x844      390x844     19109   5.8%  (16, 195, 374, 665)
share-feed-1280-dark.png                1280x844     1280x844     21222   2.0%  (138, 214, 1087, 650)
share-feed-1280-light.png               1280x844     1280x844     20738   1.9%  (138, 214, 1087, 650)
share-feed-360-dark.png                  360x844      360x844     13250   4.4%  (16, 210, 344, 702)
share-feed-360-light.png                 360x844      360x844     12799   4.2%  (16, 210, 344, 702)
share-feed-390-dark.png                  390x844      390x844     13310   4.0%  (16, 210, 374, 702)
share-feed-390-light.png                 390x844      390x844     12859   3.9%  (16, 210, 374, 702)
share-feed-430-dark.png                  430x844      430x844     13390   3.7%  (16, 210, 414, 702)
share-feed-430-light.png                 430x844      430x844     12939   3.6%  (16, 210, 414, 702)
share-feed-768-dark.png                  768x844      768x844     14066   2.2%  (16, 210, 752, 702)
share-feed-768-light.png                 768x844      768x844     13615   2.1%  (16, 210, 752, 702)

44 captures compared
